serial,thread,speedup,nthreads
432.757,74.276,5.83,17
356.388,60.060,5.93,18
437.159,76.170,5.74,19
399.618,63.607,6.28,20
349.113,55.355,6.31,21
348.869,54.371,6.42,22
349.788,51.617,6.78,23
377.588,57.774,6.54,24
438.403,68.158,6.43,25
345.957,54.414,6.36,26
347.381,53.541,6.49,27
436.827,64.806,6.74,28
332.778,49.538,6.72,29
357.459,54.516,6.56,30
348.928,55.632,6.27,31
359.521,52.314,6.87,32
362.745,363.190,1.00,1
403.961,202.928,1.99,2
357.271,220.997,1.62,3
361.636,148.565,2.43,4
355.083,147.833,2.40,5
436.344,138.367,3.15,6
375.826,115.640,3.25,7
436.491,113.122,3.86,8
349.049,84.851,4.11,9
430.425,92.496,4.65,10
319.415,65.961,4.84,11
349.300,63.778,5.48,12
325.494,57.684,5.64,13
340.491,55.062,6.18,14
320.010,51.444,6.22,15
356.620,65.218,5.47,16
320.166,57.239,5.59,17
319.251,54.446,5.86,18
436.041,72.473,6.02,19
435.670,70.612,6.17,20
344.843,53.309,6.47,21
346.989,55.062,6.30,22
349.902,52.719,6.64,23
432.472,64.411,6.71,24
424.360,64.286,6.60,25
380.734,59.491,6.40,26
360.580,55.559,6.49,27
361.346,53.696,6.73,28
356.799,54.048,6.60,29
361.108,54.736,6.60,30
357.836,53.526,6.69,31
356.828,51.621,6.91,32
350.727,352.808,0.99,1
437.047,219.055,2.00,2
350.069,216.490,1.62,3
360.326,149.495,2.41,4
349.974,145.501,2.41,5
429.343,137.818,3.12,6
350.156,107.556,3.26,7
436.555,112.222,3.89,8
325.537,79.345,4.10,9
435.590,93.211,4.67,10
346.392,70.899,4.89,11
355.027,65.374,5.43,12
437.422,76.344,5.73,13
346.449,56.023,6.18,14
407.886,64.628,6.31,15
345.873,56.560,6.12,16
349.830,58.263,6.00,17
360.945,61.344,5.88,18
355.844,58.832,6.05,19
358.567,58.344,6.15,20
361.247,57.297,6.30,21
364.042,56.356,6.46,22
319.146,50.879,6.27,23
360.729,54.128,6.66,24
363.026,55.744,6.51,25
319.311,49.149,6.50,26
355.780,54.374,6.54,27
380.899,57.244,6.65,28
437.370,64.669,6.76,29
346.436,52.664,6.58,30
350.144,55.328,6.33,31
349.309,51.736,6.75,32
436.242,435.837,1.00,1
377.623,190.797,1.98,2
436.194,267.360,1.63,3
320.906,133.348,2.41,4
437.291,181.656,2.41,5
345.686,111.145,3.11,6
430.699,133.215,3.23,7
345.395,89.676,3.85,8
361.070,87.785,4.11,9
349.141,74.672,4.68,10
436.059,89.059,4.90,11
349.746,64.187,5.45,12
348.818,61.875,5.64,13
349.561,55.923,6.25,14
403.648,67.789,5.95,15
322.393,53.850,5.99,16
356.839,60.347,5.91,17
355.563,61.926,5.74,18
361.286,58.913,6.13,19
356.586,60.814,5.86,20
359.627,58.114,6.19,21
351.809,54.768,6.42,22
360.968,52.973,6.81,23
354.116,53.669,6.60,24
361.083,55.623,6.49,25
360.980,55.414,6.51,26
324.294,49.609,6.54,27
349.885,51.573,6.78,28
356.309,52.805,6.75,29
319.653,47.914,6.67,30
319.244,49.216,6.49,31
437.451,65.465,6.68,32
