# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     0.31%            26  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.31%            26  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.30%            25  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.30%            29  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.29%            24  40            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.29%            24  40            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.29%            24  40            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.28%            23  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.28%            20  46            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.28%            24  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            21  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            22  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            23  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            19  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            19  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            27  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.27%            27  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.26%            19  46            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.26%            19  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.26%            23  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.26%            25  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.26%            18  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            20  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            20  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            22  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            21  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            24  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.25%            22  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.24%            22  36            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.23%            22  35            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.23%            24  32            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.23%            19  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.23%            20  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
